date,precip,swvl1,swvl2,skt,t2m,transp,evap,lai
2013-04-21,1.3357398128710816E-4,0.1371900198945769,0.1505444384135524,303.26516210010374,300.92917026075025,-1.1783012566379114E-4,-5.585614947719825E-4,0.8928702285366911
2013-04-22,3.379582669959046E-4,0.13882685809730563,0.15051989758633072,304.281587927906,300.9256766093469,-8.35147288804429E-5,-6.633487189954897E-4,0.8928702285366911
2013-04-23,4.048505553897101E-6,0.13939001086312927,0.15049689086694626,304.89383344351484,301.9095910880036,-7.78784263643719E-5,-5.882812322379996E-4,0.8928702285366911
2013-04-24,9.718522430084257E-5,0.138807357490277,0.1504718171184836,306.4965274910714,303.65004088270035,-5.90673563155261E-5,-6.187328873618358E-4,0.8928702285366911
2013-04-25,6.895499346973098E-4,0.1424603327519476,0.15044854687738246,305.8520647204712,303.6463313413756,-8.315693885547172E-5,-7.391735948679627E-4,0.8928702285366911
2013-04-26,4.351138045421976E-7,0.1434739038891589,0.150441568939883,306.68446567772475,304.1262955766001,-7.366463369783157E-5,-7.646832132973179E-4,0.8928702285366911
2013-04-27,1.0664770708578331E-4,0.1415632019669935,0.15042819692712597,307.04482632143777,304.3030070749136,-8.641488459793555E-5,-7.447677396111568E-4,0.8928702285366911
2013-04-28,8.502227615281299E-7,0.14018472868415352,0.15040886677652368,306.3982322861368,303.42441329015605,-6.635790584588822E-5,-6.496867965705956E-4,0.8928702285366911
2013-04-29,7.026939425941587E-5,0.1392427541441837,0.15038698565733388,306.56708720187135,304.4900017548783,-1.1617180321635378E-4,-6.562665963003008E-4,0.8928702285366911
2013-04-30,1.7200013644469436E-6,0.13843015309291187,0.15036133784297556,307.31687246400026,304.54154019289655,-2.896966518854324E-4,-8.590439541153437E-4,0.8928702285366911
2013-05-01,0.0,0.13765914634857412,0.15033275014508,305.6755663308965,303.5354195189709,-1.8167481520923515E-4,-7.115260243002549E-4,0.8928702285366911
2013-05-02,0.0,0.13719876019478333,0.1503046434477898,304.4910753737001,302.47920230381544,-1.0215817521597463E-4,-6.043793323617688E-4,0.8928702285366911
2013-05-03,3.007806299137883E-6,0.1369270986940044,0.15027486745308288,306.1944229711798,304.4935434985051,-1.1499519409677832E-4,-6.265112303645108E-4,0.8928702285366911
2013-05-04,2.980414137709886E-9,0.13676717529923843,0.1502430596961446,308.2176345831073,306.7210031420252,-1.2556906324597464E-4,-6.014560356460661E-4,0.8928702285366911
2013-05-05,5.652163275334759E-6,0.13667552264213073,0.1502106092988863,308.88293490044936,306.68900529972154,-9.681637297012773E-5,-5.752197875769003E-4,0.8928702285366911
2013-05-06,4.3772621438620263E-7,0.13659945597205334,0.15017726155630304,309.1583864930109,306.42315029718355,-9.775641754568081E-5,-6.360272519600411E-4,0.8928702285366911
2013-05-07,4.382770839583827E-7,0.13653093150902482,0.150144100923935,309.3278604339929,306.66042656058465,-9.954745274249507E-5,-6.451226371944594E-4,0.8928702285366911
2013-05-08,0.0,0.13650377015915663,0.150111258672823,308.3465612104874,306.47011249250306,-1.5829134738224866E-4,-6.022827128645818E-4,0.8928702285366911
2013-05-09,4.351138045421976E-7,0.13649703125250787,0.15007813526657096,307.5538044945668,305.41614610841475,-1.5590025057502448E-4,-5.921280278446861E-4,0.8928702285366911
2013-05-10,4.351138045421976E-7,0.1365035183930556,0.1500452224817653,306.41458073651785,304.5315246464475,-1.4720752674552437E-4,-5.0103123972798E-4,0.8928702285366911
2013-05-11,7.569321727698559E-4,0.1382302400327427,0.1500139819332803,305.0439446835746,302.9917437842888,-1.0914792620988767E-4,-6.195269725952751E-4,0.8928702285366911
2013-05-12,0.002681133109703309,0.15877615640147502,0.1500182952645747,304.10508428259146,302.46344648928414,-6.725123505149675E-5,-0.001034542618287822,0.8928702285366911
2013-05-13,1.2223726874615326E-6,0.16468108735086986,0.15011804362229955,306.0668768684376,303.93356090676923,-6.329981848390885E-5,-0.0012442672938016604,0.8928702285366911
2013-05-14,1.71679740555043E-6,0.15580824355804804,0.15016964979519523,307.02934454402134,305.3034731439279,-1.3938199481905336E-4,-0.0010787982447718618,0.8928702285366911
2013-05-15,4.9663113519113125E-5,0.1496428640058975,0.1501864622847876,307.9323445630184,306.7451970669081,-1.3742990108732084E-4,-9.229693314970367E-4,0.8928702285366911
2013-05-16,2.157688072657038E-6,0.14537347716187965,0.15018362330361765,308.52594820854296,307.4434338634787,-1.592339606286932E-4,-8.27389018745011E-4,0.8928702285366911
2013-05-17,0.0,0.14224912940261913,0.1501686123621176,309.49014578468075,307.90609716230256,-1.394173161963285E-4,-7.112068547443911E-4,0.8928702285366911
2013-05-18,4.351138613856165E-7,0.1400318596383885,0.1501466695259459,309.8999167453587,308.3999949045284,-1.5170480166267728E-4,-7.043711106380439E-4,0.8928702285366911
2013-05-19,0.0,0.13856115669364127,0.15011986476308453,309.53790177990373,308.1759969547704,-1.9341007230921044E-4,-7.209136310063636E-4,0.8928702285366911
2013-05-20,8.52346317969932E-7,0.1376805689987551,0.15008916007474443,309.765803468858,308.36112146617575,-1.939821052716583E-4,-6.656454680903667E-4,0.8928702285366911
2013-05-21,1.7106532936850272E-6,0.13716953965291404,0.15005622377870753,309.17531815025825,307.965685108226,-2.267080472526822E-4,-6.794093810997686E-4,0.8928702285366911
2013-05-22,1.2862374205724336E-6,0.13688389190846242,0.15002298281629944,308.78609827646056,306.9663992618743,-1.7817889717629953E-4,-6.02807717624541E-4,0.8928702285366911
2013-05-23,4.351138045421976E-7,0.1367259973370239,0.14998896990179952,309.63374694408856,307.5356354833445,-1.432891111413393E-4,-5.321886034564722E-4,0.8928702285366911
2013-05-24,0.0,0.13663859727386335,0.1499550755230904,309.31736325115565,307.12855693090256,-1.3673859569480866E-4,-4.891917161149861E-4,0.8928702285366911
2013-05-25,1.7106531977617578E-6,0.13660393878013952,0.14992110571251446,308.278656425143,306.138998648786,-1.2272814624528122E-4,-4.428720936890928E-4,0.8928702285366911
